;Ocupados;Parados;Inactivos
Andalucía;2849,1;1127,4;2794,2
Aragón;540,3;103,3;467,5
Asturias, Principado de;398;79,6;451,8
Balears, Illes;450;128,6;320,3
Canarias;771,2;314,4;663,8
Cantabria;233,8;41;219,6
Castilla y León;996,8;186,8;962,4
Castilla - La Mancha;779,2;211,2;712,9
Cataluña;3133,5;686,8;2256,8
Comunitat Valenciana;1937,9;575,9;1659,6
Extremadura;378,2;118,8;410,5
Galicia;1093,1;203,5;1085,5
Madrid, Comunidad de;2898,4;542;1827,8
Murcia, Región de;560,6;186,7;440,9
Navarra, Comunidad Foral de;271,1;35,7;206,6
País Vasco;939,5;114,9;767,4
Rioja, La;131,4;24,4;106,9
Ceuta;24,2;8;27,2
Melilla ;21,8;7,7;26,1
